"Town of Chelmsford November 8, 2016 State Election Page 1 of 5","","","","","","","","","","",""
"CANDIDATE                     PRECINCT: ","1","2","3","4","5","6","7","8","9","TOTA","L"
"NO ","523","421","558","561","569","568","575","536","615","4926",""
"Blanks 52 39 42 41 43 62 43 40 46 408","","","","","","","","","","",""
"Totals ","2221","2029","2298","2058","2244","2397","2489","2263","2443","20442",""
"QUESTION 4","","","","","","","","","","",""
"Marijuana","","","","","","","","","","",""
"YES ","1070","1059","1058","1015","1159","1203","1074","1048","1225","9911",""
"NO ","1107","946","1208","1021","1051","1151","1385","1184","1189","10242",""
"Blanks 44 24 32 22 34 43 30 31 29 289","","","","","","","","","","",""
"Totals ","2221","2029","2298","2058","2244","2397","2489","2263","2443","20442",""
"Town of Chelmsford November 8, 2016 State Election Page 5 of 5","","","","","","","","","","",""
"CANDIDATE                     PRECINCT: ","1","2","3","4","5","6","7","8","9","TOTA","L"
"November 8, 2016 State Election Official Results","","","","","","","","","","",""
"In accordance with the warrant, the polls were opened at 7:00 am and closed at 8:00 pm.  ","","","","","","","","","","",""
"Registered Chelmsford voters cast their ballots in their respective precincts.  The official results are as follows:","","","","","","","","","","",""
"Total Ballots Voted ","2,221","2,029","2,298","2,058","2,244","2,397","2,489","2,263","2,443","20,442",""
"Total Registered ","2,799","2,678","2,800","2,580","2,859","2,942","2,864","2,715","2,874","25,111",""
"Percentage 79.3% 75.8% 82.1% 79.8% 78.5% 81.5% 86.9% 83.4% 85.0% 81.4%","","","","","","","","","","",""
"A true copy attest:","","","","","","","","","","",""
"Onorina Z. Maloney, Town Clerk","","","","","","","","","","",""
"BALLOTS VOTED","","","","","","","","","","",""
